*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=romtool-shield
*Date=21:08:26
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;79.1329;-46.6203;-90;Bottom;TXT1
2;;;53.3941;-25.3972;0;Bottom;Via12
3;;;99.848;-15.0114;0;Bottom;TXT1
4;;;90.8714;-25.1714;0;Bottom;TXT1
5;;;85.4547;-19.9785;0;Bottom;TXT1
6;;;99.7915;-35.3314;0;Bottom;TXT1
7;;;71.6258;-46.5638;-90;Bottom;TXT1
8;;;50.8541;-22.8573;0;Bottom;Via13
9;;;74.8431;-22.5185;0;Bottom;TXT1
10;;;99.848;-9.93135;0;Bottom;TXT1
11;;;85.2429;-46.7755;0;Bottom;Via10
12;;;42.0489;-46.5638;-90;Bottom;TXT1
13;;;86.3718;-45.2939;0;Bottom;Via9
14;;;90.8733;-48.0314;0;Bottom;TXT1
15;;;69.0858;-46.5638;-90;Bottom;TXT1
16;;;74.8431;-12.302;0;Bottom;TXT1
17;;;45.7741;-17.7773;0;Bottom;Via15
18;;;74.8431;-19.922;0;Bottom;TXT1
19;;;99.7915;-30.2514;0;Bottom;TXT1
20;;;74.8431;-27.6549;0;Bottom;TXT1
21;;;14;-2.62289;0;Bottom;Hole11
22;;;41.0769;-6.98299;-90;Bottom;TXT1
23;;;90.0076;-51.1398;0;Bottom;Hole10
24;;;99.7915;-37.9278;0;Bottom;TXT1
25;;;99.846;-7.4478;0;Bottom;TXT1
26;;;90.8873;-39.3672;0;Bottom;Via5
27;;;74.8431;-25.0585;0;Bottom;TXT1
28;;THT;59.8331;-2.62269;-90;Bottom;J13
29;;;84.7754;-7.27846;0;Bottom;TXT1
30;;;48.3141;-20.3173;0;Bottom;Via14
31;;;90.8733;-37.9843;0;Bottom;TXT1
32;;;53.7329;-46.5639;-90;Bottom;TXT1
33;;;90.8733;-45.4914;0;Bottom;TXT1
34;;;92.9618;-52.0954;0;Bottom;TXT1
35;;;21.6035;-46.6353;-90;Bottom;TXT1
36;;;74.1093;-46.5639;-90;Bottom;TXT1
37;;;85.4547;-9.81846;0;Bottom;TXT1
