*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=romtool-shifter
*Date=21:09:36
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;19.2769;-42.7083;0;Bottom;TXT1
2;;;67.5922;-19.67;0;Bottom;TXT1
3;;;40.6086;-37.403;0;Bottom;Via21
4;;;28.9278;-14.59;0;Bottom;TXT1
5;;;3.2467;-24.6461;0;Bottom;TXT1
6;;;44.4344;-50.7615;0;Bottom;Via34
7;;;40.6086;-30.4101;0;Bottom;Via22
8;;;57.9414;-40.1683;0;Bottom;TXT1
9;;;66.8593;-42.6519;0;Bottom;TXT1
10;;;83.0024;-22.1061;0;Bottom;TXT1
11;;;18.5429;-17.0825;0;Bottom;TXT1
12;;;28.2222;-47.7511;0;Bottom;TXT1
13;;;18.5429;-22.1625;0;Bottom;TXT1
14;;;40.6086;-47.2807;0;Bottom;Via20
15;;;28.2222;-45.1405;0;Bottom;TXT1
16;;;28.2222;-52.8311;0;Bottom;TXT1
17;;;18.5429;-14.5425;0;Bottom;TXT1
18;;;57.9391;-29.8954;0;Bottom;TXT1
19;;;3.2467;-32.379;0;Bottom;TXT1
20;;;66.8593;-29.8954;0;Bottom;TXT1
21;;;13.858;-29.7261;0;Bottom;TXT1
22;;;66.8593;-32.4354;0;Bottom;TXT1
23;;;18.5429;-24.759;0;Bottom;TXT1
24;;THT;62.5362;-33.9222;0;Bottom;J27
25;;;83.0024;-17.0261;0;Bottom;TXT1
26;;;72.3911;-32.379;0;Bottom;TXT1
27;;;28.1948;-37.5154;0;Bottom;TXT1
28;;;45.5946;-30.4101;0;Bottom;Via30
29;;;19.2769;-50.2154;0;Bottom;TXT1
30;;;72.3911;-19.5661;0;Bottom;TXT1
31;;;18.5606;-12.1304;0;Bottom;TXT1
32;;;66.8593;-40.0554;0;Bottom;TXT1
33;;;43.9795;-63.1322;0;Bottom;TXT4
34;;;57.9414;-37.5154;0;Bottom;TXT1
35;;;72.3911;-22.1625;0;Bottom;TXT1
36;;;3.24867;-34.919;0;Bottom;TXT1
37;;;67.566;-27.29;0;Bottom;TXT1
38;;;57.9414;-52.7554;0;Bottom;TXT1
39;;;3.2467;-14.5425;0;Bottom;TXT1
40;;;72.3911;-14.5425;0;Bottom;TXT1
41;;;3.2467;-22.1625;0;Bottom;TXT1
42;;;83.0024;-19.5661;0;Bottom;TXT1
43;;THT;23.8718;-33.9222;0;Bottom;J24
44;;;72.3911;-17.0261;0;Bottom;TXT1
45;;;3.2467;-29.7825;0;Bottom;TXT1
46;;THT;8.56629;-23.7713;0;Bottom;J25
47;;;57.2251;-12.1304;0;Bottom;TXT1
48;;;28.9278;-24.8205;0;Bottom;TXT1
49;;;28.9278;-12.1205;0;Bottom;TXT1
50;;;57.2073;-14.5425;0;Bottom;TXT1
51;;;40.6007;-54.2422;0;Bottom;Via19
52;;;73.0682;-12.0025;0;Bottom;TXT1
53;;;10.363;-45.4602;90;Bottom;TXT6
54;;;57.2073;-22.1625;0;Bottom;TXT1
55;;;28.9278;-17.13;0;Bottom;TXT1
56;;;28.2222;-55.3711;0;Bottom;TXT1
57;;;57.2073;-19.6225;0;Bottom;TXT1
58;;;67.5922;-24.8205;0;Bottom;TXT1
59;;;83.0024;-34.9754;0;Bottom;TXT1
60;;;66.8867;-55.3711;0;Bottom;TXT1
61;;;83.0024;-27.2425;0;Bottom;TXT1
62;;;82.3231;-12.0025;0;Bottom;TXT1
63;;;45.5946;-47.2807;0;Bottom;Via28
64;;;72.3911;-29.7825;0;Bottom;TXT1
65;;;19.2769;-45.2483;0;Bottom;TXT1
66;;;28.1948;-34.9754;0;Bottom;TXT1
67;;;72.3911;-24.6461;0;Bottom;TXT1
68;;;13.1787;-12.0025;0;Bottom;TXT1
69;;;28.1948;-42.6519;0;Bottom;TXT1
70;;;57.2073;-17.0825;0;Bottom;TXT1
71;;;13.858;-32.3225;0;Bottom;TXT1
72;;;13.858;-17.0261;0;Bottom;TXT1
73;;;19.2769;-34.9754;0;Bottom;TXT1
74;;;41.9884;-33.9223;0;Bottom;Via35
75;;;6.3499;-39.99;0;Bottom;Via40
76;;;57.9261;-55.3005;0;Bottom;TXT1
77;;;45.5946;-20.5636;0;Bottom;Via31
78;;;13.858;-14.5425;0;Bottom;TXT1
79;;;28.9278;-19.67;0;Bottom;TXT1
80;;;72.3931;-34.919;0;Bottom;TXT1
81;;;3.2467;-27.2425;0;Bottom;TXT1
82;;;13.858;-22.1061;0;Bottom;TXT1
83;;;66.8867;-47.7511;0;Bottom;TXT1
84;;;13.858;-27.2425;0;Bottom;TXT1
85;;;57.2073;-27.299;0;Bottom;TXT1
86;;;28.9015;-27.29;0;Bottom;TXT1
87;;;41.9884;-50.7615;0;Bottom;Via33
88;;;67.5922;-14.59;0;Bottom;TXT1
89;;;83.0024;-29.7261;0;Bottom;TXT1
90;;;44.4344;-33.9223;0;Bottom;Via36
91;;;3.2467;-17.0261;0;Bottom;TXT1
92;;;18.5429;-19.6225;0;Bottom;TXT1
93;;;44.4344;-17.083;0;Bottom;Via38
94;;;28.9278;-22.2805;0;Bottom;TXT1
95;;;28.2222;-50.2911;0;Bottom;TXT1
96;;;19.2769;-37.5154;0;Bottom;TXT1
97;;;57.9414;-50.2154;0;Bottom;TXT1
98;;SSOP48;43.1032;-17.0755;90;Top;Part2
99;;SSOP16;7.28895;-45.4499;180;Top;IC1
100;;;57.9414;-47.7319;0;Bottom;TXT1
101;;;28.1948;-29.8954;0;Bottom;TXT1
102;;;28.1948;-40.0554;0;Bottom;TXT1
103;;;3.2467;-19.5661;0;Bottom;TXT1
104;;;57.9414;-32.4354;0;Bottom;TXT1
105;;;83.0024;-24.7025;0;Bottom;TXT1
106;;;43.0725;-7.44767;0;Bottom;TXT7
107;;THT;77.7107;-23.7713;0;Bottom;J26
108;;;67.5922;-12.1205;0;Bottom;TXT1
109;;;13.858;-19.5661;0;Bottom;TXT1
110;;;13.858;-34.9754;0;Bottom;TXT1
111;;;66.8867;-52.8311;0;Bottom;TXT1
112;;;67.5922;-17.13;0;Bottom;TXT1
113;;;45.5946;-37.403;0;Bottom;Via29
114;;;19.2769;-47.7319;0;Bottom;TXT1
115;;SSOP48;43.086;-33.9222;90;Top;Part3
116;;;40.6086;-20.5636;0;Bottom;Via23
117;;;66.8867;-50.2911;0;Bottom;TXT1
118;;SSOP48;43.086;-50.7616;90;Top;Part4
119;;;6.3499;-50.8556;0;Bottom;Via39
120;;;19.2617;-55.3005;0;Bottom;TXT1
121;;;19.2769;-52.7554;0;Bottom;TXT1
122;;;10.3481;-40.0057;0;Bottom;Via25
123;;;41.9884;-17.083;0;Bottom;Via37
124;;;19.2769;-40.1683;0;Bottom;TXT1
125;;;72.3911;-27.2425;0;Bottom;TXT1
126;;;57.9414;-45.2483;0;Bottom;TXT1
127;;;57.2073;-24.759;0;Bottom;TXT1
128;;;19.2769;-32.4354;0;Bottom;TXT1
129;;;10.3481;-50.8556;0;Bottom;Via26
130;;;8.88693;-54.0043;0;Bottom;TXT5
131;;;66.8867;-45.1405;0;Bottom;TXT1
132;;;18.5429;-27.299;0;Bottom;TXT1
133;;;45.5946;-13.6023;0;Bottom;Via32
134;;;66.8593;-34.9754;0;Bottom;TXT1
135;;;45.5946;-54.2422;0;Bottom;Via27
136;;;28.1948;-32.4354;0;Bottom;TXT1
137;;;83.0024;-32.3225;0;Bottom;TXT1
138;;;3.92374;-12.0025;0;Bottom;TXT1
139;;;66.8593;-37.5154;0;Bottom;TXT1
140;;;83.0024;-14.5425;0;Bottom;TXT1
141;;;40.6086;-13.6023;0;Bottom;Via24
142;;;57.9414;-34.9754;0;Bottom;TXT1
143;;;67.5922;-22.2805;0;Bottom;TXT1
144;;;19.2747;-29.8954;0;Bottom;TXT1
145;;;77.6081;-54.1011;0;Bottom;TXT5
146;;;57.9414;-42.7083;0;Bottom;TXT1
147;;;13.858;-24.7025;0;Bottom;TXT1
